annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 27 July 2023]
"Analysis   :,""standard"""
"Date       :,""2019"""
"Item Name  :,""Median"""
"pay        :,""Hourly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - median_hourly"",""Conf %"",""Male Part Time Workers - median_hourly"",""Conf %"",""Female Full Time Workers - median_hourly"",""Conf %"",""Female Part Time Workers - median_hourly"",""Conf %"",""Full Time Workers - median_hourly"",""Conf %"",""Part Time Workers - median_hourly"",""Conf %"""

"Barking and Dagenham,""E09000002"",15.92,6.3,9.62,15.0,13.15,8.2,10.16,5.1,15.01,6.0,10.14,5.1"
"Barnet,""E09000003"",18.74,8.0,10.81,15.0,17.38,5.4,11.76,8.7,17.70,4.9,11.34,7.6"
"Bexley,""E09000004"",18.38,6.7,12.01,17.0,16.23,5.9,10.61,4.9,17.04,4.8,10.93,4.8"
"Brent,""E09000005"",15.74,5.4,10.05,5.6,15.34,6.4,10.35,5.5,15.62,3.8,10.21,3.5"
"Bromley,""E09000006"",21.77,5.1,11.34,15.0,19.43,7.2,11.92,6.9,20.89,3.7,11.91,6.4"
"Camden,""E09000007"",22.27,10.0,15.06,17.0,20.23,7.2,11.20,15.0,21.16,4.7,12.16,14.0"
"City of London,""E09000001"",""#"",-,""!"",""!"",19.97,-,""!"",""!"",""#"",""#"",""#"",-"
"Croydon,""E09000008"",18.36,5.5,10.81,7.4,17.28,4.5,10.17,5.1,17.69,3.6,10.31,4.4"
"Ealing,""E09000009"",16.31,5.3,10.43,12.0,15.12,6.9,10.77,5.8,15.85,3.9,10.71,5.0"
"Enfield,""E09000010"",16.52,7.4,8.90,4.0,15.84,8.3,10.59,6.9,16.23,6.2,9.69,4.3"
"Greenwich,""E09000011"",18.18,7.1,10.96,15.0,17.62,6.8,10.56,5.9,18.05,4.9,10.57,4.8"
"Hackney,""E09000012"",19.01,6.5,9.67,6.7,17.70,6.0,10.52,5.4,18.43,4.4,10.40,4.0"
"Hammersmith and Fulham,""E09000013"",22.64,6.5,""#"",""#"",18.27,6.0,13.82,12.0,20.66,4.5,14.22,12.0"
"Haringey,""E09000014"",18.15,6.2,10.20,13.0,17.43,7.3,10.55,9.1,17.71,4.4,10.51,5.6"
"Harrow,""E09000015"",19.08,6.9,""#"",""#"",16.69,6.1,11.86,8.8,17.93,4.4,11.86,8.6"
"Havering,""E09000016"",18.01,7.0,9.17,11.0,15.48,6.5,10.35,7.6,17.23,4.5,10.13,6.0"
"Hillingdon,""E09000017"",16.36,6.0,9.88,6.5,15.34,4.6,10.76,4.1,15.77,3.6,10.48,4.2"
"Hounslow,""E09000018"",17.02,7.1,9.49,7.0,15.47,7.8,10.13,5.9,16.63,5.0,10.00,4.0"
"Islington,""E09000019"",21.92,6.0,""#"",""#"",19.57,6.3,12.12,8.6,20.91,4.4,12.58,9.7"
"Kensington and Chelsea,""E09000020"",""#"",""#"",""#"",""#"",22.32,12.0,11.01,12.0,23.19,13.0,11.95,12.0"
"Kingston upon Thames,""E09000021"",22.14,10.0,""#"",""#"",18.16,7.5,11.12,9.6,20.35,5.9,12.25,10.0"
"Lambeth,""E09000022"",19.17,5.0,10.42,9.3,18.40,3.5,10.38,3.2,18.84,3.0,10.43,2.9"
"Lewisham,""E09000023"",17.97,7.2,10.29,7.1,15.70,5.8,10.56,6.4,17.11,4.1,10.55,4.8"
"Merton,""E09000024"",18.16,9.8,10.08,8.5,18.18,7.9,10.99,8.9,18.24,5.8,10.93,6.1"
"Newham,""E09000025"",16.31,5.6,9.41,5.3,15.08,6.3,10.07,4.2,15.83,3.9,9.65,3.8"
"Redbridge,""E09000026"",19.38,8.1,9.09,8.7,15.68,8.8,10.68,7.9,17.99,5.8,10.00,6.5"
"Richmond upon Thames,""E09000027"",26.40,8.8,10.72,20.0,18.50,7.4,13.40,20.0,22.23,6.2,13.17,15.0"
"Southwark,""E09000028"",19.10,7.0,10.62,13.0,18.18,4.7,10.62,3.9,18.76,4.3,10.63,3.8"
"Sutton,""E09000029"",17.99,5.7,12.33,18.0,15.82,8.5,11.35,7.3,17.59,4.7,11.82,6.9"
"Tower Hamlets,""E09000030"",21.46,6.1,9.48,5.5,19.87,5.3,11.20,7.7,20.64,4.4,10.01,6.1"
"Waltham Forest,""E09000031"",18.85,6.4,9.46,6.3,17.02,6.7,10.54,4.2,17.87,4.5,10.04,3.2"
"Wandsworth,""E09000032"",23.17,7.8,13.37,11.0,20.87,4.5,10.71,13.0,21.73,4.2,11.93,10.0"
"Westminster,""E09000033"",22.90,9.8,9.95,20.0,19.12,9.9,10.69,9.6,21.03,7.2,10.51,7.7"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
