annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 27 July 2023]
"Analysis   :,""standard"""
"Date       :,""2019"""
"Item Name  :,""Mean"""
"pay        :,""Hourly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - mean_hourly"",""Conf %"",""Male Part Time Workers - mean_hourly"",""Conf %"",""Female Full Time Workers - mean_hourly"",""Conf %"",""Female Part Time Workers - mean_hourly"",""Conf %"",""Full Time Workers - mean_hourly"",""Conf %"",""Part Time Workers - mean_hourly"",""Conf %"""

"Barking and Dagenham,""E09000002"",16.71,4.9,11.37,6.2,15.94,4.8,12.28,5.1,16.37,3.5,11.98,4.0"
"Barnet,""E09000003"",24.13,5.0,13.08,7.5,20.17,5.4,16.62,6.6,22.29,3.7,15.65,5.4"
"Bexley,""E09000004"",21.57,5.0,16.34,10.0,18.81,3.9,13.48,5.4,20.40,3.5,14.21,4.9"
"Brent,""E09000005"",19.40,4.3,11.25,5.1,18.17,4.4,13.60,7.8,18.86,3.1,12.82,5.8"
"Bromley,""E09000006"",27.00,4.3,17.19,15.0,22.79,4.8,15.69,6.8,25.11,3.2,16.07,6.3"
"Camden,""E09000007"",29.99,6.5,16.26,9.0,24.06,5.5,16.75,11.0,27.43,4.6,16.56,7.7"
"City of London,""E09000001"",""#"",""#"",""!"",""!"",21.38,13.0,""!"",""!"",24.95,15.0,""#"",""#"""
"Croydon,""E09000008"",20.96,3.6,13.70,7.0,19.33,3.1,13.42,5.2,20.25,2.5,13.50,4.2"
"Ealing,""E09000009"",20.32,4.2,""#"",""#"",18.24,5.2,15.91,8.6,19.46,3.3,16.90,9.7"
"Enfield,""E09000010"",20.66,4.8,10.84,8.4,18.54,4.2,15.01,7.1,19.77,3.3,13.62,5.9"
"Greenwich,""E09000011"",22.32,4.8,13.49,8.8,21.31,5.2,14.00,6.1,21.86,3.6,13.87,5.1"
"Hackney,""E09000012"",22.92,4.9,14.04,17.0,20.29,3.8,13.96,6.3,21.74,3.3,13.99,7.5"
"Hammersmith and Fulham,""E09000013"",29.87,6.7,16.93,16.0,21.66,4.1,15.57,8.2,26.16,4.5,16.02,7.7"
"Haringey,""E09000014"",23.19,6.5,17.19,20.0,19.60,4.1,15.98,9.9,21.50,4.1,16.42,9.6"
"Harrow,""E09000015"",23.05,6.0,14.84,9.5,19.67,5.4,17.26,9.6,21.58,4.2,16.65,7.8"
"Havering,""E09000016"",21.87,4.7,""#"",""#"",17.99,4.4,14.21,6.6,20.31,3.4,14.09,7.2"
"Hillingdon,""E09000017"",18.83,3.9,12.87,9.1,17.30,3.7,16.68,10.0,18.12,2.7,15.47,8.0"
"Hounslow,""E09000018"",20.92,4.7,13.23,18.0,17.98,4.1,13.89,9.1,19.72,3.4,13.71,8.1"
"Islington,""E09000019"",27.58,4.9,19.11,11.0,24.50,4.7,16.28,7.9,26.11,3.5,17.37,6.7"
"Kensington and Chelsea,""E09000020"",49.02,13.0,""#"",""#"",25.40,6.8,13.89,11.0,39.49,10.0,16.67,14.0"
"Kingston upon Thames,""E09000021"",27.87,6.9,""#"",""#"",19.37,5.0,14.68,7.3,24.38,5.0,19.59,13.0"
"Lambeth,""E09000022"",23.56,4.1,16.22,12.0,19.89,3.0,13.98,6.1,21.94,2.8,14.82,6.2"
"Lewisham,""E09000023"",22.08,4.1,12.71,7.4,19.23,4.5,13.37,4.8,20.78,3.1,13.17,4.0"
"Merton,""E09000024"",23.96,5.3,""#"",""#"",20.52,4.3,16.42,12.0,22.39,3.6,16.63,11.0"
"Newham,""E09000025"",18.55,3.3,11.93,6.7,17.00,3.7,12.13,5.2,17.92,2.5,12.05,4.1"
"Redbridge,""E09000026"",23.60,4.6,10.31,7.6,20.10,5.5,14.23,6.1,22.16,3.6,13.04,5.3"
"Richmond upon Thames,""E09000027"",39.12,9.4,14.11,13.0,23.36,6.8,19.31,8.4,32.71,7.1,18.18,7.5"
"Southwark,""E09000028"",24.35,4.6,14.51,11.0,21.11,3.2,14.31,6.7,22.85,3.0,14.36,5.8"
"Sutton,""E09000029"",21.32,4.7,16.42,15.0,19.13,5.9,15.47,6.3,20.45,3.7,15.74,6.3"
"Tower Hamlets,""E09000030"",27.15,4.2,12.89,14.0,23.69,3.8,13.76,6.7,25.74,3.0,13.36,7.3"
"Waltham Forest,""E09000031"",21.51,4.2,11.53,9.5,19.00,4.3,13.24,5.5,20.42,3.0,12.70,4.8"
"Wandsworth,""E09000032"",28.30,4.6,15.75,10.0,24.05,3.4,17.24,8.4,26.22,3.0,16.83,6.7"
"Westminster,""E09000033"",29.56,7.8,""#"",""#"",26.73,8.7,13.62,8.3,28.33,5.8,17.11,15.0"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
