annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 27 July 2023]
"Analysis   :,""standard"""
"Date       :,""2019"""
"Item Name  :,""Mean"""
"pay        :,""Weekly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - mean_weekly"",""Conf %"",""Male Part Time Workers - mean_weekly"",""Conf %"",""Female Full Time Workers - mean_weekly"",""Conf %"",""Female Part Time Workers - mean_weekly"",""Conf %"",""Full Time Workers - mean_weekly"",""Conf %"",""Part Time Workers - mean_weekly"",""Conf %"""

"Barking and Dagenham,""E09000002"",692.3,4.6,208.4,9.6,596.3,4.6,225.4,6.9,647.6,3.4,219.8,5.6"
"Barnet,""E09000003"",943.7,4.8,218.2,8.0,753.9,5.3,291.5,7.7,853.2,3.6,270.8,6.3"
"Bexley,""E09000004"",865.1,4.8,287.8,11.0,700.5,3.8,236.1,7.1,792.4,3.3,249.3,6.1"
"Brent,""E09000005"",770.6,4.1,191.2,6.8,691.7,4.1,255.1,9.2,735.2,2.9,232.3,6.9"
"Bromley,""E09000006"",1056.9,4.1,280.8,17.0,841.9,4.7,292.6,7.4,957.3,3.1,289.3,7.1"
"Camden,""E09000007"",1152.1,6.3,236.1,12.0,904.7,5.5,273.5,14.0,1043.8,4.5,257.8,10.0"
"City of London,""E09000001"",""#"",""#"",""!"",""!"",809.6,12.0,""!"",""!"",929.9,15.0,""#"",""#"""
"Croydon,""E09000008"",824.2,3.4,220.7,11.0,718.0,3.0,244.7,6.6,776.6,2.4,237.1,5.6"
"Ealing,""E09000009"",811.9,4.1,""#"",""#"",691.6,5.1,270.1,10.0,760.6,3.2,286.2,11.0"
"Enfield,""E09000010"",827.7,4.6,187.5,8.0,691.8,4.0,266.7,8.4,768.1,3.2,239.9,6.6"
"Greenwich,""E09000011"",881.5,4.6,237.5,11.0,794.6,5.1,263.8,7.2,841.4,3.4,256.7,6.1"
"Hackney,""E09000012"",886.4,4.7,242.1,16.0,768.9,3.6,242.2,8.0,832.9,3.2,242.2,7.9"
"Hammersmith and Fulham,""E09000013"",1152.3,6.5,244.2,15.0,827.6,3.9,259.8,11.0,1004.9,4.4,254.2,8.8"
"Haringey,""E09000014"",908.9,6.3,""#"",""#"",745.1,3.9,278.8,11.0,830.7,4.0,289.2,10.0"
"Harrow,""E09000015"",895.9,5.9,249.6,11.0,738.2,5.4,302.3,11.0,825.8,4.2,288.7,9.0"
"Havering,""E09000016"",868.6,4.5,""#"",""#"",670.3,4.4,249.5,8.3,785.8,3.3,246.4,8.7"
"Hillingdon,""E09000017"",768.0,3.8,214.9,12.0,656.4,3.7,314.8,12.0,714.0,2.7,280.4,9.3"
"Hounslow,""E09000018"",842.4,4.5,""#"",""#"",691.4,4.1,241.6,9.8,778.9,3.3,233.3,9.4"
"Islington,""E09000019"",1073.7,4.8,361.3,13.0,931.4,4.6,303.6,9.4,1004.8,3.4,325.6,7.8"
"Kensington and Chelsea,""E09000020"",1905.8,13.0,""#"",""#"",950.0,6.7,256.7,13.0,1511.5,9.9,308.7,15.0"
"Kingston upon Thames,""E09000021"",1065.7,6.8,""#"",""#"",727.9,4.9,230.6,11.0,925.7,5.0,302.7,14.0"
"Lambeth,""E09000022"",915.6,4.1,295.1,14.0,750.6,2.9,250.3,7.5,841.6,2.7,266.8,7.1"
"Lewisham,""E09000023"",860.0,3.8,197.0,9.7,737.5,4.4,243.4,6.4,803.6,2.9,227.9,5.4"
"Merton,""E09000024"",934.7,5.1,""#"",""#"",782.4,4.2,307.4,14.0,864.2,3.5,298.2,12.0"
"Newham,""E09000025"",744.3,3.1,239.9,8.0,652.8,3.5,236.7,6.2,705.9,2.4,237.9,4.9"
"Redbridge,""E09000026"",911.6,4.5,199.0,8.3,754.2,5.3,257.4,7.7,845.5,3.5,240.5,6.3"
"Richmond upon Thames,""E09000027"",1486.0,9.3,230.6,20.0,882.1,6.6,356.5,11.0,1239.5,7.0,326.3,9.6"
"Southwark,""E09000028"",950.2,4.4,250.2,13.0,791.5,3.1,254.0,8.2,874.8,2.9,253.1,7.0"
"Sutton,""E09000029"",848.9,4.6,307.4,19.0,714.4,5.8,287.5,7.8,793.7,3.7,293.0,7.8"
"Tower Hamlets,""E09000030"",1039.9,4.0,241.2,16.0,878.9,3.7,214.7,9.0,973.2,2.9,225.7,8.6"
"Waltham Forest,""E09000031"",835.6,3.9,197.7,12.0,722.8,4.1,238.0,7.3,786.3,2.9,225.0,6.3"
"Wandsworth,""E09000032"",1094.3,4.5,236.0,14.0,907.5,3.3,296.9,9.9,1001.7,2.9,278.2,8.2"
"Westminster,""E09000033"",1141.8,7.6,""#"",""#"",1013.5,8.6,252.1,10.0,1085.6,5.7,318.2,14.0"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
