annual survey of hours and earnings  - resident analysis
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""standard"""
"Date       :,""2016"""
"Item Name  :,""Mean"""
"pay        :,""Hourly pay - gross"""
"Confidence :,""Standard error as a percentage of the figure"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Male Full Time Workers - mean_hourly"",""Conf %"",""Male Part Time Workers - mean_hourly"",""Conf %"",""Female Full Time Workers - mean_hourly"",""Conf %"",""Female Part Time Workers - mean_hourly"",""Conf %"",""Full Time Workers - mean_hourly"",""Conf %"",""Part Time Workers - mean_hourly"",""Conf %"""

"Barking and Dagenham,""E09000002"",14.05,3.5,10.38,9.8,15.14,5.1,10.29,4.7,14.48,3.0,10.32,4.7"
"Barnet,""E09000003"",23.21,6.7,12.80,9.5,17.39,3.5,12.56,4.5,20.64,4.5,12.64,4.4"
"Bexley,""E09000004"",20.82,4.5,13.06,11.0,16.64,4.2,11.96,4.7,19.09,3.3,12.20,4.4"
"Brent,""E09000005"",17.04,4.6,10.28,5.6,15.87,4.4,11.05,6.0,16.49,3.2,10.73,4.3"
"Bromley,""E09000006"",25.74,5.2,14.25,9.6,19.40,3.5,14.50,5.1,22.97,3.6,14.45,4.5"
"Camden,""E09000007"",24.56,5.2,18.21,18.0,22.34,5.2,15.88,11.0,23.54,3.7,16.87,10.0"
"City of London,""E09000001"",29.05,12.0,""!"",""!"",22.27,17.0,-,-,27.77,11.0,""!"",""!"""
"Croydon,""E09000008"",19.09,4.0,12.28,8.3,16.33,2.7,12.85,5.0,17.84,2.6,12.67,4.3"
"Ealing,""E09000009"",18.59,3.9,15.69,18.0,16.81,3.6,11.90,4.6,17.88,2.8,13.16,7.9"
"Enfield,""E09000010"",18.47,4.5,10.73,12.0,17.75,4.4,13.12,6.7,18.18,3.2,12.24,6.0"
"Greenwich,""E09000011"",20.48,6.0,11.32,9.6,18.53,6.0,12.25,5.5,19.65,4.3,11.96,4.8"
"Hackney,""E09000012"",19.16,5.1,10.96,11.0,18.77,4.1,11.44,5.7,18.98,3.3,11.23,5.6"
"Hammersmith and Fulham,""E09000013"",27.79,7.9,""#"",""#"",19.96,4.2,15.95,12.0,24.10,5.2,19.18,19.0"
"Haringey,""E09000014"",17.65,4.9,12.33,12.0,15.95,3.5,14.89,9.9,16.88,3.2,14.00,7.8"
"Harrow,""E09000015"",21.12,4.8,11.58,9.2,17.07,4.3,13.38,6.0,19.31,3.4,12.98,5.2"
"Havering,""E09000016"",19.98,4.9,11.40,13.0,16.47,4.5,13.30,5.9,18.69,3.6,12.90,5.4"
"Hillingdon,""E09000017"",19.10,3.9,11.35,14.0,16.04,3.8,13.57,6.6,17.85,2.9,12.98,6.1"
"Hounslow,""E09000018"",20.36,13.0,13.06,11.0,16.19,4.4,13.04,16.0,18.78,8.7,13.05,11.0"
"Islington,""E09000019"",25.61,5.9,""#"",""#"",20.30,4.8,13.87,12.0,23.28,4.1,15.11,12.0"
"Kensington and Chelsea,""E09000020"",43.63,14.0,""#"",""#"",21.97,11.0,""#"",""#"",32.99,10.0,16.72,19.0"
"Kingston upon Thames,""E09000021"",22.95,5.6,16.73,14.0,18.19,4.0,13.08,7.5,20.73,3.8,14.62,8.1"
"Lambeth,""E09000022"",20.55,3.8,12.96,12.0,16.63,2.8,12.13,4.9,18.72,2.6,12.43,5.5"
"Lewisham,""E09000023"",19.17,4.1,11.89,10.0,18.17,3.5,13.16,5.5,18.67,2.7,12.79,4.9"
"Merton,""E09000024"",26.49,14.0,9.54,8.6,19.34,4.7,15.57,11.0,23.53,9.5,13.87,9.5"
"Newham,""E09000025"",15.40,5.7,10.00,4.8,13.73,3.2,10.95,9.1,14.71,3.7,10.49,5.4"
"Redbridge,""E09000026"",21.43,4.8,10.90,10.0,16.77,3.8,13.56,6.0,19.52,3.4,12.94,5.3"
"Richmond upon Thames,""E09000027"",28.32,6.7,""#"",""#"",22.15,5.8,18.38,7.0,25.97,4.9,18.50,6.8"
"Southwark,""E09000028"",20.41,4.0,11.93,9.4,18.72,3.9,13.51,6.8,19.70,2.9,13.03,5.6"
"Sutton,""E09000029"",19.95,4.1,11.99,7.2,16.44,4.7,12.31,5.2,18.63,3.2,12.23,4.3"
"Tower Hamlets,""E09000030"",22.31,4.5,10.88,7.9,19.15,3.9,11.11,5.9,20.96,3.2,11.00,4.9"
"Waltham Forest,""E09000031"",17.56,3.7,12.88,16.0,15.70,4.2,12.89,5.8,16.92,2.9,12.89,6.7"
"Wandsworth,""E09000032"",29.47,5.1,14.92,14.0,21.23,3.6,16.76,9.7,25.68,3.5,16.03,8.1"
"Westminster,""E09000033"",27.83,8.2,""#"",""#"",23.10,6.7,12.89,9.4,25.72,5.6,16.21,19.0"
"Column Total,""Column Total"",-,-,-,-,-,-,-,-,-,-,-,-"


"#,""These figures are suppressed as statistically unreliable"""

"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""

"-,""These figures are missing."""

",""Results for 2003 and earlier exclude supplementary surveys. In 2006 there"""
",""were a number of methodological changes made. For further details goto :"""
",""http://www.nomisweb.co.uk/articles/341.aspx"""
","""""

",""Estimates for 2011 and subsequent years use a weighting scheme based on"""
",""occupations which have been coded according to Standard Occupational"""
",""Classification (SOC) 2010 that replaced SOC 2000.  Therefore care"""
",""should be taken when making comparisons with earlier years."""
","""""
