annual population survey
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""variable"""
"Confidence :,""95% confidence interval of percent figure (+/-)"""
"Date       :,""Jan 2016-Dec 2016"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""Unemployment rate - aged 16+"",""Conf"""

"Barking and Dagenham,""E09000002"",7200,96900,7.4,2.5"
"Barnet,""E09000003"",6500,187700,3.5,1.9"
"Bexley,""E09000004"",5400,131200,4.1,2.0"
"Brent,""E09000005"",12800,168900,7.6,2.3"
"Bromley,""E09000006"",7200,169300,4.2,1.9"
"Camden,""E09000007"",6300,133100,4.7,2.1"
"City of London,""E09000001"",""!"",4900,""!"",""!"""
"Croydon,""E09000008"",11700,207700,5.7,2.1"
"Ealing,""E09000009"",11100,183200,6.0,2.2"
"Enfield,""E09000010"",9300,161700,5.7,2.4"
"Greenwich,""E09000011"",10600,148400,7.1,2.7"
"Hackney,""E09000012"",11500,148900,7.7,2.6"
"Hammersmith and Fulham,""E09000013"",3100,105500,3.0,1.7"
"Haringey,""E09000014"",6900,151700,4.5,1.9"
"Harrow,""E09000015"",7800,128000,6.1,2.4"
"Havering,""E09000016"",5500,135700,4.0,2.0"
"Hillingdon,""E09000017"",6000,159200,3.8,1.9"
"Hounslow,""E09000018"",7400,143000,5.2,2.5"
"Islington,""E09000019"",9200,133500,6.9,2.6"
"Kensington and Chelsea,""E09000020"",6800,83400,8.1,2.7"
"Kingston upon Thames,""E09000021"",4100,92400,4.4,2.2"
"Lambeth,""E09000022"",12400,211100,5.9,2.6"
"Lewisham,""E09000023"",11300,169600,6.7,2.5"
"Merton,""E09000024"",3800,112400,3.3,1.9"
"Newham,""E09000025"",10800,185000,5.8,2.2"
"Redbridge,""E09000026"",9300,156500,5.9,2.1"
"Richmond upon Thames,""E09000027"",5900,112000,5.3,2.3"
"Southwark,""E09000028"",14000,187400,7.5,2.5"
"Sutton,""E09000029"",4400,110100,4.0,2.0"
"Tower Hamlets,""E09000030"",18500,172300,10.8,3.2"
"Waltham Forest,""E09000031"",8000,147500,5.4,2.5"
"Wandsworth,""E09000032"",6400,195200,3.3,1.9"
"Westminster,""E09000033"",8000,127300,6.3,2.4"
"Column Total,""Column Total"",268900,4760600,5.6,0.4"


"!,""Estimate and confidence interval not available since the group sample size"""
",""is zero or disclosive (0-2)"""
